model,accuracy,f1,auc,pr_auc,loyalty_precision,loyalty_recall,caught_loyal,missed_loyal
Logistic Regression Top-4,0.6637311286843998,0.7872512079419647,0.6272790585909818,0.9926329441803943,0.01764705882352941,0.4925373134328358,66,68
Linear SVC Top-4,0.9379942487419123,0.9569215232407182,0.6292037855112285,0.9924889151627176,0.03198653198653199,0.1417910447761194,19,115
Random Forest Top-4,0.7439791516894321,0.8425076744589606,0.6292682711601172,0.9923755506636368,0.021164021164021163,0.44776119402985076,60,74
Linear SVC Top-3,0.9379942487419123,0.9569215232407182,0.6276442510025825,0.9921039873995097,0.03198653198653199,0.1417910447761194,19,115
Logistic Regression Top-3,0.6811646297627606,0.7996770364012954,0.6278567142457624,0.992093443638792,0.018883878241262683,0.5,67,67
Logistic Regression Top-5,0.6263479511143063,0.759518110424794,0.6216962983879946,0.9919925063167692,0.017737296260786194,0.5522388059701493,74,60
Logistic Regression Top-6,0.6281452192667146,0.7608942021651022,0.6169935975932598,0.9919019714234553,0.01759036144578313,0.5447761194029851,73,61
Linear SVC Top-6,0.6773005032350827,0.796927136510855,0.623518866464476,0.9918872832390078,0.018925688839409965,0.5074626865671642,68,66
Random Forest Top-5,0.7571890726096333,0.851162978544133,0.615762939893945,0.9918577947060901,0.019101123595505618,0.3805970149253731,51,83
Logistic Regression Top-12,0.6204169662113588,0.7550835493747441,0.6135106937569748,0.9918287659221686,0.01677693761814745,0.5298507462686567,71,63
Linear SVC Top-5,0.7670740474478792,0.8574935649050914,0.6263253497837358,0.9918252397980314,0.021044427123928292,0.40298507462686567,54,80
Logistic Regression Top-13,0.6205068296189792,0.7551726237691805,0.6127714845818208,0.9918076601162823,0.01655237644833294,0.5223880597014925,70,64
Logistic Regression Top-9,0.6240115025161754,0.7578522397007639,0.608059280638829,0.9917377156444742,0.0164756446991404,0.5149253731343284,69,65
Logistic Regression Top-11,0.6205068296189792,0.7551518982625681,0.6114872019744828,0.9917107903406507,0.01678090285984401,0.5298507462686567,71,63
Logistic Regression Top-8,0.638569374550683,0.7688310427937617,0.6037176994778698,0.9917049786514753,0.016417910447761194,0.4925373134328358,66,68
Logistic Regression Top-10,0.619608195542775,0.7544888959260028,0.6112102530824141,0.9916938317014479,0.016513328615239443,0.5223880597014925,70,64
Logistic Regression Top-7,0.6460280373831776,0.7743499721087607,0.5997973114235988,0.9916834298079885,0.016764033528067056,0.4925373134328358,66,68
Logistic Regression Top-14,0.6208662832494608,0.7554459023785373,0.6067437734015028,0.9915214580596983,0.016568047337278107,0.5223880597014925,70,64
Random Forest Top-3,0.7251976994967649,0.8300351663314733,0.6184944162216026,0.9914919021887405,0.020341207349081365,0.4626865671641791,62,72
GBT Top-3,0.7141445003594536,0.8225878833804624,0.6202837232791835,0.991429045136536,0.0192489744398864,0.4552238805970149,61,73
Linear SVC Top-13,0.582314881380302,0.7255790727319547,0.5889107762986054,0.9913457324936535,0.013787160706591986,0.47761194029850745,64,70
Linear SVC Top-8,0.5857296908698778,0.7283193213706871,0.5843003918012266,0.9913143034929024,0.013689700130378096,0.4701492537313433,63,71
Linear SVC Top-12,0.5821351545650612,0.7254358251298592,0.5882245132351706,0.9913052337450723,0.013781223083548665,0.47761194029850745,64,70
Linear SVC Top-7,0.5865384615384616,0.7289606557824272,0.5841558081884556,0.9912636456746923,0.013716525146962769,0.4701492537313433,63,71
Linear SVC Top-11,0.5824047447879224,0.725650684295319,0.5874914132267535,0.9912612495410885,0.01379013143719026,0.47761194029850745,64,70
Linear SVC Top-10,0.582314881380302,0.7255790727319547,0.5873631207252806,0.9912401571907759,0.013787160706591986,0.47761194029850745,64,70
Linear SVC Top-9,0.5842020129403307,0.7270812045750562,0.5852052272745788,0.9912001713851667,0.01384981605713049,0.47761194029850745,64,70
Random Forest Top-11,0.6850287562904386,0.8025490038792783,0.5836952448961306,0.9911614038329324,0.016078093597473444,0.417910447761194,56,78
Random Forest Top-7,0.6804457225017972,0.7993094448514927,0.5879736980008093,0.9911312918552633,0.016119909502262445,0.4253731343283582,57,77
Random Forest Top-13,0.6953630481667865,0.8097957655231808,0.587769040915126,0.9910026890969328,0.015764425936942297,0.39552238805970147,53,81
Linear SVC Top-14,0.5824946081955428,0.7257474103919939,0.5835645766075934,0.9909926472903874,0.013583441138421734,0.4701492537313433,63,71
